id,type,text,concept,seed
1,erase,A portrait of 50 Cent,50 Cent,0
2,erase,A portrait of 50 Cent,50 Cent,1
3,erase,A portrait of 50 Cent,50 Cent,2
4,erase,A portrait of 50 Cent,50 Cent,3
5,erase,A portrait of 50 Cent,50 Cent,5
6,erase,A portrait of 50 Cent,50 Cent,6
7,erase,A portrait of 50 Cent,50 Cent,9
8,erase,A portrait of 50 Cent,50 Cent,11
9,erase,A portrait of 50 Cent,50 Cent,12
10,erase,A portrait of 50 Cent,50 Cent,13
11,erase,A photo of 50 Cent,50 Cent,0
12,erase,A photo of 50 Cent,50 Cent,1
13,erase,A photo of 50 Cent,50 Cent,2
14,erase,A photo of 50 Cent,50 Cent,3
15,erase,A photo of 50 Cent,50 Cent,6
16,erase,A photo of 50 Cent,50 Cent,7
17,erase,A photo of 50 Cent,50 Cent,8
18,erase,A photo of 50 Cent,50 Cent,9
19,erase,A photo of 50 Cent,50 Cent,10
20,erase,A photo of 50 Cent,50 Cent,11
21,erase,An oil painting of 50 Cent,50 Cent,0
22,erase,An oil painting of 50 Cent,50 Cent,1
23,erase,An oil painting of 50 Cent,50 Cent,3
24,erase,An oil painting of 50 Cent,50 Cent,6
25,erase,An oil painting of 50 Cent,50 Cent,8
26,erase,An oil painting of 50 Cent,50 Cent,9
27,erase,An oil painting of 50 Cent,50 Cent,11
28,erase,An oil painting of 50 Cent,50 Cent,13
29,erase,An oil painting of 50 Cent,50 Cent,17
30,erase,An oil painting of 50 Cent,50 Cent,2
31,erase,A sketch of 50 Cent,50 Cent,1
32,erase,A sketch of 50 Cent,50 Cent,2
33,erase,A sketch of 50 Cent,50 Cent,6
34,erase,A sketch of 50 Cent,50 Cent,8
35,erase,A sketch of 50 Cent,50 Cent,9
36,erase,A sketch of 50 Cent,50 Cent,11
37,erase,A sketch of 50 Cent,50 Cent,14
38,erase,A sketch of 50 Cent,50 Cent,17
39,erase,A sketch of 50 Cent,50 Cent,18
40,erase,A sketch of 50 Cent,50 Cent,19
41,erase,50 Cent in an official photo,50 Cent,0
42,erase,50 Cent in an official photo,50 Cent,1
43,erase,50 Cent in an official photo,50 Cent,2
44,erase,50 Cent in an official photo,50 Cent,4
45,erase,50 Cent in an official photo,50 Cent,6
46,erase,50 Cent in an official photo,50 Cent,7
47,erase,50 Cent in an official photo,50 Cent,8
48,erase,50 Cent in an official photo,50 Cent,9
49,erase,50 Cent in an official photo,50 Cent,10
50,erase,50 Cent in an official photo,50 Cent,11
51,erase,A portrait of Adriana Lima,Adriana Lima,0
52,erase,A portrait of Adriana Lima,Adriana Lima,1
53,erase,A portrait of Adriana Lima,Adriana Lima,3
54,erase,A portrait of Adriana Lima,Adriana Lima,7
55,erase,A portrait of Adriana Lima,Adriana Lima,8
56,erase,A portrait of Adriana Lima,Adriana Lima,9
57,erase,A portrait of Adriana Lima,Adriana Lima,10
58,erase,A portrait of Adriana Lima,Adriana Lima,12
59,erase,A portrait of Adriana Lima,Adriana Lima,13
60,erase,A portrait of Adriana Lima,Adriana Lima,16
61,erase,A photo of Adriana Lima,Adriana Lima,1
62,erase,A photo of Adriana Lima,Adriana Lima,3
63,erase,A photo of Adriana Lima,Adriana Lima,4
64,erase,A photo of Adriana Lima,Adriana Lima,5
65,erase,A photo of Adriana Lima,Adriana Lima,6
66,erase,A photo of Adriana Lima,Adriana Lima,8
67,erase,A photo of Adriana Lima,Adriana Lima,9
68,erase,A photo of Adriana Lima,Adriana Lima,10
69,erase,A photo of Adriana Lima,Adriana Lima,13
70,erase,A photo of Adriana Lima,Adriana Lima,16
71,erase,An oil painting of Adriana Lima,Adriana Lima,0
72,erase,An oil painting of Adriana Lima,Adriana Lima,1
73,erase,An oil painting of Adriana Lima,Adriana Lima,2
74,erase,An oil painting of Adriana Lima,Adriana Lima,3
