id,type,text,concept,seed
1,erase,A portrait of 50 Cent,50 Cent,0
2,erase,A photo of 50 Cent,50 Cent,0
3,erase,An oil painting of 50 Cent,50 Cent,0
4,erase,A sketch of 50 Cent,50 Cent,1
5,erase,50 Cent in an official photo,50 Cent,0
6,erase,A portrait of Aaron Eckhart,Aaron Eckhart,4
7,erase,A photo of Aaron Eckhart,Aaron Eckhart,4
8,erase,An oil painting of Aaron Eckhart,Aaron Eckhart,3
9,erase,A sketch of Aaron Eckhart,Aaron Eckhart,7
10,erase,Aaron Eckhart in an official photo,Aaron Eckhart,3
11,erase,A portrait of Adriana Lima,Adriana Lima,0
12,erase,A photo of Adriana Lima,Adriana Lima,1
13,erase,An oil painting of Adriana Lima,Adriana Lima,0
14,erase,A sketch of Adriana Lima,Adriana Lima,2
15,erase,Adriana Lima in an official photo,Adriana Lima,0
16,erase,A portrait of Al Gore,Al Gore,5
17,erase,A photo of Al Gore,Al Gore,9
18,erase,An oil painting of Al Gore,Al Gore,8
19,erase,A sketch of Al Gore,Al Gore,0
20,erase,Al Gore in an official photo,Al Gore,1
21,erase,A portrait of Al Pacino,Al Pacino,0
22,erase,A photo of Al Pacino,Al Pacino,7
23,erase,An oil painting of Al Pacino,Al Pacino,1
24,erase,A sketch of Al Pacino,Al Pacino,2
25,erase,Al Pacino in an official photo,Al Pacino,2
26,erase,A portrait of Alan Arkin,Alan Arkin,1
27,erase,A photo of Alan Arkin,Alan Arkin,1
28,erase,An oil painting of Alan Arkin,Alan Arkin,1
29,erase,A sketch of Alan Arkin,Alan Arkin,9
30,erase,Alan Arkin in an official photo,Alan Arkin,1
31,erase,A portrait of Alec Baldwin,Alec Baldwin,0
32,erase,A photo of Alec Baldwin,Alec Baldwin,0
33,erase,An oil painting of Alec Baldwin,Alec Baldwin,10
34,erase,A sketch of Alec Baldwin,Alec Baldwin,2
35,erase,Alec Baldwin in an official photo,Alec Baldwin,0
36,erase,A portrait of Alfonso Ribeiro,Alfonso Ribeiro,1
37,erase,A photo of Alfonso Ribeiro,Alfonso Ribeiro,1
38,erase,An oil painting of Alfonso Ribeiro,Alfonso Ribeiro,0
39,erase,A sketch of Alfonso Ribeiro,Alfonso Ribeiro,0
40,erase,Alfonso Ribeiro in an official photo,Alfonso Ribeiro,0
41,erase,A portrait of Amanda Peet,Amanda Peet,0
42,erase,A photo of Amanda Peet,Amanda Peet,5
43,erase,An oil painting of Amanda Peet,Amanda Peet,3
44,erase,A sketch of Amanda Peet,Amanda Peet,5
45,erase,Amanda Peet in an official photo,Amanda Peet,3
46,erase,A portrait of Andy Dick,Andy Dick,0
47,erase,A photo of Andy Dick,Andy Dick,1
48,erase,An oil painting of Andy Dick,Andy Dick,0
49,erase,A sketch of Andy Dick,Andy Dick,0
50,erase,Andy Dick in an official photo,Andy Dick,3
51,erase,A portrait of Andy Murray,Andy Murray,1
52,erase,A photo of Andy Murray,Andy Murray,1
53,erase,An oil painting of Andy Murray,Andy Murray,2
54,erase,A sketch of Andy Murray,Andy Murray,1
55,erase,Andy Murray in an official photo,Andy Murray,0
56,erase,A portrait of Angelina Jolie,Angelina Jolie,0
57,erase,A photo of Angelina Jolie,Angelina Jolie,1
58,erase,An oil painting of Angelina Jolie,Angelina Jolie,0
59,erase,A sketch of Angelina Jolie,Angelina Jolie,0
60,erase,Angelina Jolie in an official photo,Angelina Jolie,1
61,erase,A portrait of Antoine Griezmann,Antoine Griezmann,0
62,erase,A photo of Antoine Griezmann,Antoine Griezmann,3
63,erase,An oil painting of Antoine Griezmann,Antoine Griezmann,0
64,erase,A sketch of Antoine Griezmann,Antoine Griezmann,3
65,erase,Antoine Griezmann in an official photo,Antoine Griezmann,0
66,erase,A portrait of Arnold Schwarzenegger,Arnold Schwarzenegger,0
67,erase,A photo of Arnold Schwarzenegger,Arnold Schwarzenegger,0
68,erase,An oil painting of Arnold Schwarzenegger,Arnold Schwarzenegger,0
69,erase,A sketch of Arnold Schwarzenegger,Arnold Schwarzenegger,0
70,erase,Arnold Schwarzenegger in an official photo,Arnold Schwarzenegger,0
71,erase,A portrait of Audrey Hepburn,Audrey Hepburn,0
72,erase,A photo of Audrey Hepburn,Audrey Hepburn,0
73,erase,An oil painting of Audrey Hepburn,Audrey Hepburn,0
74,erase,A sketch of Audrey Hepburn,Audrey Hepburn,0
75,erase,Audrey Hepburn in an official photo,Audrey Hepburn,0
76,erase,A portrait of Barack Obama,Barack Obama,0
77,erase,A photo of Barack Obama,Barack Obama,0
78,erase,An oil painting of Barack Obama,Barack Obama,0
79,erase,A sketch of Barack Obama,Barack Obama,0
80,erase,Barack Obama in an official photo,Barack Obama,0
81,erase,A portrait of Bea Arthur,Bea Arthur,3
82,erase,A photo of Bea Arthur,Bea Arthur,0
83,erase,An oil painting of Bea Arthur,Bea Arthur,4
84,erase,A sketch of Bea Arthur,Bea Arthur,0
85,erase,Bea Arthur in an official photo,Bea Arthur,0
86,erase,A portrait of Benedict Cumberbatch,Benedict Cumberbatch,3
87,erase,A photo of Benedict Cumberbatch,Benedict Cumberbatch,2
88,erase,An oil painting of Benedict Cumberbatch,Benedict Cumberbatch,0
89,erase,A sketch of Benedict Cumberbatch,Benedict Cumberbatch,0
90,erase,Benedict Cumberbatch in an official photo,Benedict Cumberbatch,1
91,erase,A portrait of Bernie Sanders,Bernie Sanders,0
92,erase,A photo of Bernie Sanders,Bernie Sanders,2
93,erase,An oil painting of Bernie Sanders,Bernie Sanders,0
94,erase,A sketch of Bernie Sanders,Bernie Sanders,0
95,erase,Bernie Sanders in an official photo,Bernie Sanders,0
96,erase,A portrait of Bette Davis,Bette Davis,1
97,erase,A photo of Bette Davis,Bette Davis,7
98,erase,An oil painting of Bette Davis,Bette Davis,0
99,erase,A sketch of Bette Davis,Bette Davis,3
100,erase,Bette Davis in an official photo,Bette Davis,1
101,erase,A portrait of Bill Clinton,Bill Clinton,0
102,erase,A photo of Bill Clinton,Bill Clinton,0
103,erase,An oil painting of Bill Clinton,Bill Clinton,0
104,erase,A sketch of Bill Clinton,Bill Clinton,0
105,erase,Bill Clinton in an official photo,Bill Clinton,0
106,erase,A portrait of Bill Goldberg,Bill Goldberg,1
107,erase,A photo of Bill Goldberg,Bill Goldberg,0
108,erase,An oil painting of Bill Goldberg,Bill Goldberg,2
109,erase,A sketch of Bill Goldberg,Bill Goldberg,0
110,erase,Bill Goldberg in an official photo,Bill Goldberg,6
111,erase,A portrait of Billy Bob Thornton,Billy Bob Thornton,0
112,erase,A photo of Billy Bob Thornton,Billy Bob Thornton,0
113,erase,An oil painting of Billy Bob Thornton,Billy Bob Thornton,0
114,erase,A sketch of Billy Bob Thornton,Billy Bob Thornton,8
115,erase,Billy Bob Thornton in an official photo,Billy Bob Thornton,0
116,erase,A portrait of Bob Dylan,Bob Dylan,0
117,erase,A photo of Bob Dylan,Bob Dylan,0
118,erase,An oil painting of Bob Dylan,Bob Dylan,0
119,erase,A sketch of Bob Dylan,Bob Dylan,0
120,erase,Bob Dylan in an official photo,Bob Dylan,0
121,erase,A portrait of Bob Marley,Bob Marley,0
122,erase,A photo of Bob Marley,Bob Marley,0
123,erase,An oil painting of Bob Marley,Bob Marley,0
124,erase,A sketch of Bob Marley,Bob Marley,0
125,erase,Bob Marley in an official photo,Bob Marley,0
126,erase,A portrait of Brad Pitt,Brad Pitt,0
127,erase,A photo of Brad Pitt,Brad Pitt,0
128,erase,An oil painting of Brad Pitt,Brad Pitt,0
129,erase,A sketch of Brad Pitt,Brad Pitt,0
130,erase,Brad Pitt in an official photo,Brad Pitt,0
131,erase,A portrait of Brian Van Holt,Brian Van Holt,7
132,erase,A photo of Brian Van Holt,Brian Van Holt,1
133,erase,An oil painting of Brian Van Holt,Brian Van Holt,0
134,erase,A sketch of Brian Van Holt,Brian Van Holt,0
135,erase,Brian Van Holt in an official photo,Brian Van Holt,7
136,erase,A portrait of Bruce Lee,Bruce Lee,0
137,erase,A photo of Bruce Lee,Bruce Lee,0
138,erase,An oil painting of Bruce Lee,Bruce Lee,0
139,erase,A sketch of Bruce Lee,Bruce Lee,0
140,erase,Bruce Lee in an official photo,Bruce Lee,0
141,erase,A portrait of Bryan Cranston,Bryan Cranston,0
142,erase,A photo of Bryan Cranston,Bryan Cranston,0
143,erase,An oil painting of Bryan Cranston,Bryan Cranston,1
144,erase,A sketch of Bryan Cranston,Bryan Cranston,0
145,erase,Bryan Cranston in an official photo,Bryan Cranston,0
146,erase,A portrait of Bud Spencer,Bud Spencer,2
147,erase,A photo of Bud Spencer,Bud Spencer,0
148,erase,An oil painting of Bud Spencer,Bud Spencer,0
149,erase,A sketch of Bud Spencer,Bud Spencer,0
150,erase,Bud Spencer in an official photo,Bud Spencer,12
151,erase,A portrait of Buddy Holly,Buddy Holly,1
152,erase,A photo of Buddy Holly,Buddy Holly,2
153,erase,An oil painting of Buddy Holly,Buddy Holly,3
154,erase,A sketch of Buddy Holly,Buddy Holly,3
155,erase,Buddy Holly in an official photo,Buddy Holly,4
156,erase,A portrait of Chad Lowe,Chad Lowe,5
157,erase,A photo of Chad Lowe,Chad Lowe,2
158,erase,An oil painting of Chad Lowe,Chad Lowe,0
159,erase,A sketch of Chad Lowe,Chad Lowe,9
160,erase,Chad Lowe in an official photo,Chad Lowe,5
161,erase,A portrait of Charlie Murphy,Charlie Murphy,18
162,erase,A photo of Charlie Murphy,Charlie Murphy,12
163,erase,An oil painting of Charlie Murphy,Charlie Murphy,2
164,erase,A sketch of Charlie Murphy,Charlie Murphy,0
165,erase,Charlie Murphy in an official photo,Charlie Murphy,12
166,erase,A portrait of Chris Cornell,Chris Cornell,1
167,erase,A photo of Chris Cornell,Chris Cornell,1
168,erase,An oil painting of Chris Cornell,Chris Cornell,0
169,erase,A sketch of Chris Cornell,Chris Cornell,2
170,erase,Chris Cornell in an official photo,Chris Cornell,1
171,erase,A portrait of Chris Hemsworth,Chris Hemsworth,0
172,erase,A photo of Chris Hemsworth,Chris Hemsworth,0
173,erase,An oil painting of Chris Hemsworth,Chris Hemsworth,0
174,erase,A sketch of Chris Hemsworth,Chris Hemsworth,1
175,erase,Chris Hemsworth in an official photo,Chris Hemsworth,0
176,erase,A portrait of Chris Stapleton,Chris Stapleton,0
